iter	Passed	Remaining
0	146	29149
1	149	14753
2	151	9971
3	156	7649
4	159	6237
5	163	5275
6	166	4577
7	168	4047
8	171	3635
9	174	3309
10	176	3039
11	179	2812
12	182	2621
13	184	2455
14	186	2300
15	189	2175
16	191	2066
17	194	1970
18	197	1880
19	200	1800
20	202	1728
21	205	1663
22	208	1603
23	211	1548
24	213	1496
25	216	1448
26	219	1404
27	221	1362
28	224	1323
29	226	1286
30	229	1252
31	232	1220
32	235	1189
33	237	1161
34	240	1132
35	242	1106
36	245	1082
37	248	1059
38	251	1037
39	254	1016
40	256	996
41	259	977
42	262	958
43	265	940
44	267	920
45	269	903
46	272	886
47	275	872
48	278	857
49	281	843
50	283	829
51	286	815
52	289	802
53	292	789
54	294	777
55	297	765
56	300	753
57	302	741
58	305	730
59	308	720
60	311	709
61	313	698
62	316	688
63	319	678
64	322	669
65	324	659
66	327	650
67	330	641
68	332	632
69	335	623
70	338	614
71	340	605
72	343	597
73	346	589
74	348	581
75	351	573
76	353	565
77	356	557
78	359	550
79	361	542
80	364	535
81	367	528
82	370	521
83	372	514
84	375	507
85	378	501
86	381	495
87	383	488
88	386	482
89	389	475
90	391	469
91	394	463
92	397	456
93	399	450
94	402	444
95	404	438
96	407	432
97	410	426
98	412	421
99	415	415
100	417	409
101	420	404
102	423	398
103	426	393
104	428	387
105	431	382
106	434	377
107	436	372
108	439	366
109	441	361
110	444	356
111	447	351
112	449	346
113	452	341
114	455	336
115	457	331
116	460	326
117	463	321
118	465	316
119	467	311
120	470	307
121	473	302
122	475	297
123	478	293
124	480	288
125	483	283
126	486	279
127	488	274
128	491	270
129	494	266
130	496	261
131	499	257
132	502	253
133	505	248
134	507	244
135	510	240
136	512	235
137	515	231
138	518	227
139	520	223
140	523	219
141	525	214
142	528	210
143	531	206
144	533	202
145	536	198
146	539	194
147	542	190
148	545	186
149	547	182
150	550	178
151	553	174
152	555	170
153	558	166
154	561	162
155	564	159
156	566	155
157	569	151
158	572	147
159	574	143
160	577	139
161	580	136
162	582	132
163	585	128
164	588	124
165	591	121
166	594	117
167	596	113
168	599	110
169	602	106
170	605	102
171	608	99
172	611	95
173	614	91
174	616	88
175	619	84
176	622	80
177	625	77
178	627	73
179	630	70
180	633	66
181	635	62
182	638	59
183	641	55
184	643	52
185	646	48
186	649	45
187	652	41
188	654	38
189	657	34
190	660	31
191	663	27
192	666	24
193	669	20
194	671	17
195	674	13
196	676	10
197	679	6
198	682	3
199	684	0
